,Star Name,Distance,Mass,Radius
214,WISE 0307+2904,WISE 0307+2904,WISE 0307+2904,WISE 0307+2904
215,WISE 0313+7807,WISE 0313+7807,WISE 0313+7807,WISE 0313+7807
216,WISE 0316+4307,WISE 0316+4307,WISE 0316+4307,WISE 0316+4307
217,WISE 0321-7347,WISE 0321-7347,WISE 0321-7347,WISE 0321-7347
218,WISE 0323-6025,WISE 0323-6025,WISE 0323-6025,WISE 0323-6025
219,WISE 0325-3854,WISE 0325-3854,WISE 0325-3854,WISE 0325-3854
220,WISE 0325+0831,WISE 0325+0831,WISE 0325+0831,WISE 0325+0831
221,WISE 0333-5856,WISE 0333-5856,WISE 0333-5856,WISE 0333-5856
222,WISE 0335+4310,WISE 0335+4310,WISE 0335+4310,WISE 0335+4310
223,WISE 0336-0143,WISE 0336-0143,WISE 0336-0143,WISE 0336-0143
224,WISE 0350-5658,WISE 0350-5658,WISE 0350-5658,WISE 0350-5658
225,WISE 0359-5401,WISE 0359-5401,WISE 0359-5401,WISE 0359-5401
226,WISE 0410+1502,WISE 0410+1502,WISE 0410+1502,WISE 0410+1502
227,WISE 0410+1411,WISE 0410+1411,WISE 0410+1411,WISE 0410+1411
228,WISE 0413-4750,WISE 0413-4750,WISE 0413-4750,WISE 0413-4750
229,WISE 0448-1935,WISE 0448-1935,WISE 0448-1935,WISE 0448-1935
230,WISE 0458+6434A,WISE 0458+6434A,WISE 0458+6434A,WISE 0458+6434A
231,WISE 0458+6434B,WISE 0458+6434B,WISE 0458+6434B,WISE 0458+6434B
232,WISE 0500-1223,WISE 0500-1223,WISE 0500-1223,WISE 0500-1223
233,WISE 0513+0608,WISE 0513+0608,WISE 0513+0608,WISE 0513+0608
234,WISE 0525+6739,WISE 0525+6739,WISE 0525+6739,WISE 0525+6739
235,WISE 0528-3308,WISE 0528-3308,WISE 0528-3308,WISE 0528-3308
236,WISE 0535-7500,WISE 0535-7500,WISE 0535-7500,WISE 0535-7500
237,WISE 0539-1034,WISE 0539-1034,WISE 0539-1034,WISE 0539-1034
238,WISE 0542-1628,WISE 0542-1628,WISE 0542-1628,WISE 0542-1628
239,WISE 0607+2429,WISE 0607+2429,WISE 0607+2429,WISE 0607+2429
240,WISE 0611-0410,WISE 0611-0410,WISE 0611-0410,WISE 0611-0410
241,WISE 0612-4920,WISE 0612-4920,WISE 0612-4920,WISE 0612-4920
242,WISE 0612-3036,WISE 0612-3036,WISE 0612-3036,WISE 0612-3036
243,WISE 0614+3912,WISE 0614+3912,WISE 0614+3912,WISE 0614+3912
244,WISE 0614+0951,WISE 0614+0951,WISE 0614+0951,WISE 0614+0951
245,WISE 0623-0456,WISE 0623-0456,WISE 0623-0456,WISE 0623-0456
246,WISE 0625+5646,WISE 0625+5646,WISE 0625+5646,WISE 0625+5646
247,WISE 0627-1114,WISE 0627-1114,WISE 0627-1114,WISE 0627-1114
248,WISE 0647-6232,WISE 0647-6232,WISE 0647-6232,WISE 0647-6232
249,WISE 0656+4205,WISE 0656+4205,WISE 0656+4205,WISE 0656+4205
250,WISE 0713-2917,WISE 0713-2917,WISE 0713-2917,WISE 0713-2917
251,WISE 0723+3403,WISE 0723+3403,WISE 0723+3403,WISE 0723+3403
252,WISE 0733+7544,WISE 0733+7544,WISE 0733+7544,WISE 0733+7544
253,WISE 0734-7157,WISE 0734-7157,WISE 0734-7157,WISE 0734-7157
254,WISE 0744+5628,WISE 0744+5628,WISE 0744+5628,WISE 0744+5628
255,WISE 0750+2725,WISE 0750+2725,WISE 0750+2725,WISE 0750+2725
256,WISE 0751-7634,WISE 0751-7634,WISE 0751-7634,WISE 0751-7634
257,WISE 0759-4904,WISE 0759-4904,WISE 0759-4904,WISE 0759-4904
258,WISE 0811-8051,WISE 0811-8051,WISE 0811-8051,WISE 0811-8051
259,WISE 0812+4021,WISE 0812+4021,WISE 0812+4021,WISE 0812+4021
